"run" "es.mean" "r.var" "n.obs" "n.vars" "true.err" "err.z.all" "err.t.all" "err.t.curve.all" "err.z.sig" "err.z.sig.sel" "err.t.sig.sel" "err.pcurve.all" "err.pcurve.sig" "true.edr" "edr.z.all" "edr.t.all" "edr.t.curve.all" "edr.z.sig" "edr.z.sig.sel" "edr.t.sig.sel" "edr.pcurve.all" "edr.pcurve.sig"
"1" 1 0 0 10 2 0.315180479390723 0.0342869902023486 0.122033215871428 0.122033215871428 0.0552691071416447 0.0665227816392423 0.212619654129929 0.05 0.06 0.166482840204077 0.0523933167209853 0.0874194382156983 0.0874194382156983 0.0587464196207614 0.0552640382715009 0.183069416537585 NA NA
"2" 2 0 0 10 4 0.31535164506714 0.0468664442130777 0.166707140563708 0.166707140563708 0.0764047296767714 0.025 0.349204909915383 0.05 0.07 0.16499429474477 0.0560258126809217 0.0666089648256013 0.0666089648256013 0.0669204144909821 0.0500000000000001 0.261098026815395 NA NA
"3" 3 0 0 10 6 0.311805200147668 0.0458238534449059 0.14680137559768 0.14680137559768 0.100599689561726 0.0330761473157571 0.0765100949331447 0.05 0.08 0.164713810835506 0.0557057160578965 0.0709900816286855 0.0709900816286855 0.0795989870700082 0.0520683664297107 0.0534829423010573 NA NA
"4" 4 0 0 10 8 0.311205998448351 0.0498438812195883 0.137086100822353 0.137086100822353 0.101508663172977 0.0782214973789527 0.239497573788379 0.05 0.09 0.164620453292673 0.0569605382496014 0.0851072697886952 0.0851072697886952 0.0801696082257125 0.0665156394952719 0.194848039802452 NA NA
"5" 5 0 0 10 10 0.319299823502867 0.0520992923662129 0.142894627269449 0.142894627269449 0.119215911878873 0.178764441446026 0.0793658403410603 0.06 0.11 0.166977432421717 0.0576896209334418 0.0957126172982978 0.0957126172982978 0.0931825236789551 0.173499125956751 0.0532958195212101 NA NA
"6" 6 0 0 10 12 0.306216167409612 0.0339176688087943 0.135699898003831 0.135699898003831 0.111170005273436 0.025 0.329291921557721 0.05 0.1 0.162531252490532 0.0522937739710296 0.0690682869679233 0.0690682869679233 0.0867819602932903 0.0500000000000001 0.246483174553456 NA NA
"7" 7 0 0 20 2 0.306669519886354 0.0512881852247482 0.0883542242557731 0.0883542242557731 0.0784771440848434 0.0752960961140318 0.056670561398095 0.05 0.07 0.165329711973893 0.0574252836933971 0.0726342667492236 0.0726342667492236 0.0678460480077804 0.0664355432491926 0.0527287683945863 NA NA
"8" 8 0 0 20 4 0.304053919241736 0.0476487851937369 0.0847425977144273 0.0847425977144273 0.0785185501457953 0.083902412107021 0.222140114461471 0.05 0.07 0.16376244990455 0.0562684336663109 0.0708070085036759 0.0708070085036759 0.0678648028042397 0.0703950316806861 0.189695818249403 NA NA
"9" 9 0 0 20 6 0.309021442927987 0.0457271793760832 0.10248866536497 0.10248866536497 0.0962460095366831 0.097754743368322 0.10729182629979 0.06 0.08 0.164507583151197 0.0556762203519459 0.0807940551141921 0.0807940551141921 0.0769748168420286 0.0778643854418988 0.0717989046513873 NA NA
"10" 10 0 0 20 8 0.305688661070023 0.0429112388631167 0.0860167296424258 0.0860167296424258 0.110618602666913 0.101797423273035 0.210804729800536 0.05 0.09 0.164499964155961 0.0548305614875342 0.0692072357250344 0.0692072357250344 0.0863753602376385 0.0803525977203959 0.161383969209844 NA NA
"11" 11 0 0 20 10 0.304798530428278 0.025 0.0736356944227861 0.0736356944227861 0.0693467180303039 0.025 0.200001217305751 0.05 0.07 0.165716373215365 0.0500000000000001 0.0537318391513 0.0537318391513 0.0639490601188604 0.0500000000000001 0.181068388473216 NA NA
"12" 12 0 0 20 12 0.304345958093982 0.0253039053757058 0.0716592797117306 0.0716592797117306 0.100313510808467 0.13417346504487 0.119230415478586 0.05 0.09 0.164788241949174 0.0500151141393333 0.0615157599589194 0.0615157599589194 0.0794210118102606 0.10798908368203 0.0594652129320772 NA NA
"13" 13 0 0 40 2 0.30546420271953 0.025 0.0496104024526971 0.0496104024526971 0.0497485644352473 0.0638837223463852 0.0928451235046849 0.05 0.06 0.164418986120727 0.0500000000000001 0.0540791380712348 0.0540791380712348 0.0559728625880779 0.0534388349060025 0.0564361876169006 NA NA
"14" 14 0 0 40 4 0.307800556777269 0.0331982630612158 0.0530599303424279 0.0530599303424279 0.0734253250855882 0.162874018360084 0.0634329754457975 0.05 0.07 0.167553140083364 0.0521009553968252 0.0580058549324364 0.0580058549324364 0.0656330835582358 0.155356366457432 0.0538036395088573 NA NA
"15" 15 0 0 40 6 0.30676385114103 0.0329706791683745 0.0585992153934277 0.0585992153934277 0.0702923907136302 0.025 0.108561407158335 0.05 0.07 0.16738204993369 0.0511531204894649 0.0553960165365346 0.0553960165365346 0.064331778977303 0.0500000000000001 0.0848914464705214 NA NA
"16" 16 0 0 40 8 0.298459550781452 0.0252865803477244 0.0500878292157011 0.0500878292157011 0.075612158323691 0.025 0.102647011916381 0.05 0.06 0.163108087523817 0.0500705794579053 0.0536505207957409 0.0536505207957409 0.0665730584995151 0.0500000000000001 0.080895865863735 NA NA
"17" 17 0 0 40 10 0.306501112740874 0.0443522091463578 0.0665565941014893 0.0665565941014893 0.112489083661051 0.0557004894198944 0.072661575178492 0.05 0.08 0.166329757109428 0.0552600666752094 0.0628459615371023 0.0628459615371023 0.087770347625381 0.0588932407117913 0.0653110213651711 NA NA
"18" 18 0 0 40 12 0.306032552188107 0.0564448297470384 0.0788630613398461 0.0788630613398461 0.141436087999086 0.0348382355815995 0.0295640111686439 0.05 0.1 0.166039301099512 0.0591483102732796 0.0680212514609097 0.0680212514609097 0.117017317169633 0.0506271180651269 0.0502279480650748 NA NA
"19" 19 0 0 60 2 0.300040728757943 0.0399401434983648 0.0518764563617054 0.0518764563617054 0.0591175276035023 0.0681802373874766 0.194271657704881 0.05 0.06 0.164422538570004 0.0539657199275294 0.0576167572450905 0.0576167572450905 0.060082684450161 0.0634832061011672 0.178961945880358 NA NA
"20" 20 0 0 60 4 0.30279295361299 0.025 0.0342616986908204 0.0342616986908204 0.05352989419912 0.025 0.025 0.05 0.05 0.165784688457594 0.0500000000000001 0.0505334234534127 0.0505334234534127 0.05816182944644 0.0500000000000001 0.0500000000000001 NA NA
"21" 21 0 0 60 6 0.300966504839183 0.0283203699505769 0.049362004814924 0.049362004814924 0.077690102952291 0.025 0.0397007466116487 0.05 0.07 0.164653161740587 0.0508301511456237 0.0568071500186425 0.0568071500186425 0.0674915200521858 0.0500000000000001 0.0533855787131752 NA NA
"22" 22 0 0 60 8 0.29847294427119 0.0276401606273631 0.0427542967575452 0.0427542967575452 0.076718687279029 0.025 0.0277279059294507 0.05 0.06 0.164384104218261 0.0506578492640598 0.0547841851267772 0.0547841851267772 0.0670590154035628 0.0500000000000001 0.0506800101238063 NA NA
"23" 23 0 0 60 10 0.306719986669906 0.0425597260175906 0.0555979467515096 0.0555979467515096 0.118818995305201 0.055383550444769 0.0860042131138213 0.05 0.09 0.16736137902203 0.0547267983187016 0.0588582738320529 0.0588582738320529 0.0928447154823977 0.0587852990437013 0.0714347663471784 NA NA
"24" 24 0 0 60 12 0.306533262287276 0.0445025389785154 0.0595040593170551 0.0595040593170551 0.123816445931394 0.0714180082164977 0.153276099877607 0.05 0.1 0.16754471850822 0.0553052629176643 0.0575616476653292 0.0575616476653292 0.0972852150950826 0.0647933367147734 0.135483049189303 NA NA
"25" 25 0 0 80 2 0.307116490069212 0.062910731716864 0.0736582716595042 0.0736582716595042 0.093852336164579 0.129484551069302 0.119431448328834 0.06 0.07 0.166286588269996 0.0614606292977674 0.0657319468171922 0.0657319468171922 0.0756044395842131 0.102865192974963 0.0933669945780463 NA NA
"26" 26 0 0 80 4 0.303287129263882 0.025 0.0342952203113068 0.0342952203113068 0.0637315438045169 0.0664794478025799 0.0370132103217492 0.05 0.06 0.165214576745613 0.0500000000000001 0.0523955392891171 0.0523955392891171 0.0617671626178939 0.0602337063615524 0.0506940954481498 NA NA
"27" 27 0 0 80 6 0.30269801140222 0.0447874374960074 0.057321459991315 0.057321459991315 0.0977875774476783 0.0652597331390704 0.0483479905773338 0.05 0.08 0.164530813497333 0.055391119992609 0.0594515606460069 0.0594515606460069 0.0778839734869984 0.0601438533735537 0.0520328785772805 NA NA
"28" 28 0 0 80 8 0.30202883897326 0.0306371471498487 0.0383378891472624 0.0383378891472624 0.090322090436665 0.025 0.0264886825739467 0.05 0.07 0.166536479336032 0.0514259050627426 0.0535105556327716 0.0535105556327716 0.0736701431129947 0.0500000000000001 0.050074124067138 NA NA
"29" 29 0 0 80 10 0.301269410675236 0.025 0.025 0.025 0.0797286845758525 0.025 0.025 0.05 0.07 0.165047119307229 0.0500000000000001 0.0500000000000001 0.0500000000000001 0.0684175480374895 0.0500000000000001 0.0500000000000001 NA NA
"30" 30 0 0 80 12 0.300376336489665 0.0344903568492278 0.0458421833578667 0.0458421833578667 0.106934194460165 0.0544504350577194 0.118443208698381 0.05 0.09 0.165059564227396 0.0524482918503362 0.0557113121240826 0.0557113121240826 0.0837533224383883 0.0584697877629778 0.0925271400360309 NA NA
"31" 31 0 0 100 2 0.298424645135508 0.025 0.0265985070449729 0.0265985070449729 0.0442399438317123 0.025 0.025 0.05 0.05 0.164253992988229 0.0500000000000001 0.0501474507896451 0.0501474507896451 0.0552263625752912 0.0500000000000001 0.0500000000000001 NA NA
"32" 32 0 0 100 4 0.30269290626752 0.0351300863550099 0.0450718517560602 0.0450718517560602 0.0579403822372841 0.0278827417348557 0.025 0.05 0.06 0.1656537745902 0.0505840220484364 0.053355001730877 0.053355001730877 0.0595335015604667 0.0501648191705706 0.0500000000000001 NA NA
"33" 33 0 0 100 6 0.298563002643026 0.0478082969895664 0.0573609245014973 0.0573609245014973 0.0930773150297217 0.025 0.0317572392160179 0.05 0.07 0.164292167837056 0.0563181598784152 0.0594652856594131 0.0594652856594131 0.0751711370240141 0.0500000000000001 0.0517189706524524 NA NA
"34" 34 0 0 100 8 0.300090364016679 0.0395024924083903 0.046092939463666 0.046092939463666 0.0856106887826017 0.0297042410072412 0.041514540194593 0.05 0.07 0.165327769305521 0.0538406262432668 0.0557879802475619 0.0557879802475619 0.0712377642767372 0.0511843387973906 0.0544205766054724 NA NA
"35" 35 0 0 100 10 0.309115190551178 0.0474370986962333 0.0525732653713914 0.0525732653713914 0.12444307607782 0.0261914692229787 0.026803847395051 0.05 0.09 0.168109325324279 0.0562025779449645 0.0578452167933499 0.0578452167933499 0.0978721589875093 0.0500581804347157 0.0500881360815544 NA NA
"36" 36 0 0 100 12 0.299846902835113 0.025 0.0316880666134748 0.0316880666134748 0.113124090790219 0.025 0.025 0.05 0.08 0.164319190765183 0.0500000000000001 0.0517007753057337 0.0517007753057337 0.0882542316107679 0.0500000000000001 0.0500000000000001 NA NA
