"run","es.mean","r.vars","n.obs","n.vars","upper.pwr","lower.pwr","obs.power","true.edr","true.err","tot.mdl.edr","tot.mdl.err","sel.mdl.edr","sel.mdl.err","tot.mdl_bias.edr","tot.mdl_bias.err","tot.mdl_bias.OJS","tot.mdl_bias.EJS","tot.mdl_bias.P","sel.mdl_bias.edr","sel.mdl_bias.err","sel.mdl_bias.OJS","sel.mdl_bias.EJS","sel.mdl_bias.P"
1,0,0,15,2,0.025,0.025,0.0500000000000001,0.0500000000000001,0.025,0.0536207461776681,0.0387282737907671,0.0622782284082533,0.0650820718838832,0.0536207461776681,0.0387282737907671,0,0.02,1,0.0622782284082533,0.0650820718838832,0,0.02,1
2,0,0,15,5,0.025,0.025,0.0500000000000001,0.0500000000000001,0.025,0.0524425187060708,0.0344690205924877,0.0705088250315631,0.0841354637176323,0.0524425187060708,0.0344690205924877,0,0.02,1,0.0705088250315631,0.0841354637176323,0,0.02,1
3,0,0,15,10,0.025,0.025,0.0500000000000001,0.0500000000000001,0.025,0.0513104747584746,0.0388847779908397,0.0729011196775635,0.088866515491887,0.0513104747584746,0.0388847779908397,0,0.02,1,0.0729011196775635,0.088866515491887,0,0.02,1
4,0,0,20,2,0.025,0.025,0.05,0.05,0.025,0.0502990885172957,0.0262088998646717,0.0602460791868581,0.0595763880832564,0.0502990885172957,0.0262088998646717,0,0.02,1,0.0602460791868581,0.0595763880832564,0,0.02,1
5,0,0,20,5,0.025,0.025,0.05,0.05,0.025,0.062102239507505,0.0646195178470133,0.0841752282410552,0.107542539344416,0.062102239507505,0.0646195178470133,0,0.02,1,0.0841752282410552,0.107542539344416,0,0.02,1
6,0,0,20,10,0.025,0.025,0.05,0.05,0.025,0.0528333752071632,0.0359030106850785,0.0756879356741487,0.0940006606628731,0.0528333752071632,0.0359030106850785,0,0.02,1,0.0756879356741487,0.0940006606628731,0,0.02,1
7,0,0,30,2,0.025,0.025,0.05,0.05,0.025,0.0535820555047249,0.0385913828308344,0.0667558884953935,0.0760303545098268,0.0535820555047249,0.0385913828308344,0,0.02,1,0.0667558884953935,0.0760303545098268,0,0.02,1
8,0,0,30,5,0.025,0.025,0.05,0.05,0.025,0.0505596762027905,0.0310179540885739,0.0661346692027206,0.0745999895013145,0.0505596762027905,0.0310179540885739,0,0.02,1,0.0661346692027206,0.0745999895013145,0,0.02,1
9,0,0,30,10,0.025,0.025,0.05,0.05,0.025,0.0525320465890891,0.0347993681966228,0.0740825508869559,0.0910902299578692,0.0525320465890891,0.0347993681966228,0,0.02,1,0.0740825508869559,0.0910902299578692,0,0.02,1
10,0,0.25,15,2,0.025,0.025,0.0500000000000001,0.0500000000000001,0.025,0.052379455849979,0.0342356480162986,0.0613907098660663,0.062722358592731,0.052379455849979,0.0342356480162986,0,0.02,1,0.0613907098660663,0.062722358592731,0,0.02,1
11,0,0.25,15,5,0.025,0.025,0.0500000000000001,0.0500000000000001,0.025,0.05,0.025,0.0625250181865788,0.0657263268870648,0.05,0.025,0,0.02,1,0.0625250181865788,0.0657263268870648,0,0.02,1
12,0,0.25,15,10,0.025,0.025,0.0500000000000001,0.0500000000000001,0.025,0.0533555634439138,0.0377860514697469,0.0729927467724438,0.0890415528381412,0.0533555634439138,0.0377860514697469,0,0.02,1,0.0729927467724438,0.0890415528381412,0,0.02,1
13,0,0.25,20,2,0.025,0.025,0.05,0.05,0.025,0.05,0.025,0.0527359126492631,0.0373912128896362,0.05,0.025,0,0.02,1,0.0527359126492631,0.0373912128896362,0,0.02,1
